Player,Region,League,Year,Dataset,Team,Pos,GP,WAR,WAR_per_game,proj_WAR
Seneca,Europe,LFL,2026,full year (per-game derived),Lille Esport,Support,11,1.769,0.1608,0.569
Steeelback,Europe,LFL,2026,full year (per-game derived),Skillcamp,Support,29,1.03,0.0355,0.941
Targamas,Europe,LFL,2026,full year (per-game derived),French Flair,Support,24,0.626,0.0261,2.824
Dekap,Europe,LFL,2026,full year (per-game derived),Vitality.Bee,Support,34,0.276,0.0081,1.946
iLEVI,Europe,LES,2026,full year (per-game derived),UCAM Esports,Support,44,0.0,0.0,6.941
Twiizt,Europe,PRM,2026,full year (per-game derived),Unicorns of Love Sexy Edition,Support,50,0.0,0.0,5.002
HungryPanda,Europe,LFL,2026,full year (per-game derived),Joblife,Support,18,-0.092,-0.0051,5.311
Farfetch,Europe,PRM,2026,full year (per-game derived),Eintracht Frankfurt,Support,26,-0.897,-0.0345,9.313
Simpy,Europe,LES,2026,full year (per-game derived),UB Alma Mater,Support,5,-0.906,-0.1812,5.139
Gordinho,Europe,LFL,2026,full year (per-game derived),Esprit Shōnen,Support,7,-2.414,-0.3449,0.405
Xixauxas,Europe,LES,2026,full year (per-game derived),UB Alma Mater,Support,14,-4.115,-0.2939,2.959
Smarty,Europe,PRM,2026,full year (per-game derived),ROSSMANN Centaurs,Support,21,-4.45,-0.2119,6.281
Tockimo,Europe,PRM,2026,full year (per-game derived),G2 NORD,Support,58,-4.674,-0.0806,3.629
Doss,Europe,LFL,2026,full year (per-game derived),BK ROG Esports,Support,10,-7.32,-0.732,-0.362
Riippp,Europe,LFL,2026,full year (per-game derived),ZYB Esport,Support,29,-14.226,-0.4906,-6.275
Prime,Europe,LFL,2026,full year (per-game derived),Karmine Corp Blue,Support,27,-14.398,-0.5333,7.044
Kellie,Europe,LES,2026,full year (per-game derived),UB Alma Mater,Support,10,-35.66,-3.566,-3.949
Stend,Europe,LFL,2026,full year (per-game derived),ZYB Esport,Support,2,-62.757,-31.3785,1.992
Summit,Americas,LCS,2023,full year (per-game derived),Team Liquid,Top,58,66.693,1.1499,47.666
Impact,Americas,LCS,2023,full year (per-game derived),FlyQuest,Top,48,44.241,0.9217,31.73
Revenge,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Top,30,42.66,1.422,27.302
Rich,Americas,LCS,2023,full year (per-game derived),Dignitas,Top,27,41.21,1.5263,25.847
Licorice,Americas,LCS,2023,full year (per-game derived),Golden Guardians,Top,66,36.438,0.5521,28.76
Fudge,Americas,LCS,2023,full year (per-game derived),Cloud9,Top,59,27.199,0.461,22.148
Solo,Americas,LCS,2023,full year (per-game derived),TSM,Top,16,14.925,0.9328,13.453
Armut,Americas,LCS,2023,full year (per-game derived),Dignitas,Top,18,12.707,0.7059,12.707
Revenge,Americas,LCS,2023,full year (per-game derived),Immortals,Top,18,11.08,0.6156,12.116
Ssumday,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Top,25,8.46,0.3384,10.83
Ssumday,Americas,LCS,2023,full year (per-game derived),100 Thieves,Top,23,1.349,0.0587,7.92
Dhokla,Americas,LCS,2023,full year (per-game derived),NRG,Top,64,-1.349,-0.0211,3.294
Hauntzer,Americas,LCS,2023,full year (per-game derived),TSM,Top,30,-5.628,-0.1876,3.773
Tenacity,Americas,LCS,2023,full year (per-game derived),100 Thieves,Top,28,-11.03,-0.3939,1.549
Solo,Americas,LCS,2023,full year (per-game derived),Immortals,Top,18,-26.37,-1.465,-1.483
Spica,Americas,LCS,2023,full year (per-game derived),FlyQuest,Jungle,48,41.253,0.8594,30.044
River,Americas,LCS,2023,full year (per-game derived),Golden Guardians,Jungle,66,24.317,0.3684,20.655
Blaber,Americas,LCS,2023,full year (per-game derived),Cloud9,Jungle,59,23.474,0.3979,19.823
