Region,League,Year,Dataset,Team,Team_WAR,WAR_per_Game,W,L,GP,W_pct,Players,Projected_Team_WAR,Proj_WAR_per_Game
Americas,CBLOL,2024,full year (per-game derived),Los Grandes,58.45,1.328,13,31,44,0.2955,"SuperCleber, Seize, Envy, brTT, sanghyeon",58.29,1.325
Americas,CBLOL,2024,full year (per-game derived),INTZ,57.09,1.586,11,25,36,0.3056,"Yupps, Yampi, Dioge, NinjaKiwi, Damage",60.02,1.667
Americas,CBLOL,2024,full year (per-game derived),Fluxo,54.28,1.206,18,27,45,0.4,"Kiari, Shini, Fuuu, Trigo, scamber",52.01,1.156
Americas,CBLOL,2024,full year (per-game derived),FURIA,46.18,0.871,22,31,53,0.4151,"Zzk, Wiz, Tutsz, Ayu, JoJo",58.77,1.109
Americas,CBLOL,2024,full year (per-game derived),Liberty,44.76,1.243,12,24,36,0.3333,"Makes, Levizin, Pilot, Leandrinn, Cavalo",54.13,1.504
Americas,CBLOL,2024,full year (per-game derived),LOUD,41.55,0.649,37,27,64,0.5781,"Robo, Croc, tinowns, Route, RedBert",57.31,0.895
Americas,CBLOL,2024,full year (per-game derived),KaBuM! Esports,0.6,0.014,20,24,44,0.4545,"Lonely, SCARY, Hauz, Netuno, Ceos",34.32,0.78
Americas,CBLOL,2024,full year (per-game derived),RED Canids,-3.16,-0.049,39,25,64,0.6094,"fNb, Aegis, Grevthar, Brance, frosty",22.11,0.345
Americas,CBLOL,2025,full year (per-game derived),Isurus,93.54,1.585,32,27,59,0.5424,"Zamudo, Josedeodo, Keine, Snaker, Ackerman",69.37,1.176
Americas,CBLOL,2025,full year (per-game derived),FURIA,86.57,1.603,30,24,54,0.5556,"Guigo, Tatu, Tutsz, Ayu, JoJo",79.89,1.479
Americas,CBLOL,2025,full year (per-game derived),RED Canids,73.44,1.335,29,26,55,0.5273,"fNb, Curse, Kaze, Rabelo, frosty",64.88,1.18
Americas,CBLOL,2025,full year (per-game derived),Flamengo MDL,64.56,6.456,4,6,10,0.4,"Makes, Dizin, Envy, Trigo, Damage",46.99,4.699
Americas,CBLOL,2025,full year (per-game derived),paiN Gaming,62.18,1.091,33,24,57,0.5789,"Wizer, CarioK, Roamer, TitaN, Kuri",64.2,1.126
Americas,CBLOL,2025,full year (per-game derived),Fluxo W7M,49.1,1.637,4,26,30,0.1333,"curty, Yampi, Fuuu, Marvin, ProDelta",50.87,1.696
Americas,CBLOL,2025,full year (per-game derived),LOUD,42.11,0.766,30,25,55,0.5455,"Robo, Gryffinn, Jool, Route, RedBert",46.62,0.848
Americas,CBLOL,2025,full year (per-game derived),Alpha7 Esports,37.4,3.4,3,8,11,0.2727,"Kiari, Drakehero, random, scuro, Telas",47.6,4.327
Americas,CBLOL,2025,full year (per-game derived),Leviatan,33.91,0.892,15,23,38,0.3947,"Zothve, SCARY, Hauz, ceo, TopLop",36.29,0.955
